FlowUID,FromUID,ToUID,FromName,ToName,MassType,Volume_m3,VolumeUnit,PeriodStart,PeriodEnd,EvidenceClass,Confidence,SourceURL,Class,Outcome,Method,Notes,Published
FLW_0013,SRC_VI_003,AK_FR_002,E134 Oslofjordforbindelsen 2,Bråtan massedeponi,rock,60000,pam3,2025,2032,evidenced,high,https://www.statsforvalteren.no/siteassets/fm-oslo-og-viken/horinger-og-kunngjoringer/e134-oslofjordtunnel/soknad-om-tillatelse.pdf.pdf,E2a,designated,stated in source document,Permanent deposit inside the project's own regulated area.,FALSE
FLW_0014,SRC_VI_003,AK_FR_003,E134 Oslofjordforbindelsen 2,Vassum massedeponi,rock,80000,pam3,2025,2032,evidenced,high,https://www.statsforvalteren.no/siteassets/fm-oslo-og-viken/horinger-og-kunngjoringer/e134-oslofjordtunnel/soknad-om-tillatelse.pdf.pdf,E2a,designated,stated in source document,Permanent deposit inside the project's own regulated area.,FALSE
FLW_0015,SRC_VI_003,AK_AS_005,E134 Oslofjordforbindelsen 2,Storsand (Storsand Bolig AS),rock,,pam3,2025,2032,evidenced,medium,https://www.statsforvalteren.no/siteassets/fm-oslo-og-viken/horinger-og-kunngjoringer/e134-oslofjordtunnel/soknad-om-tillatelse.pdf.pdf,E2a,designated,stated in source document,Part of the surplus planned for delivery to a housing and land-reclamation project.,FALSE
FLW_0016,SRC_VI_003,SRC_VI_003,E134 Oslofjordforbindelsen 2,E134 (reused on site),rock,260000,pfm3,2025,2032,evidenced,high,https://www.statsforvalteren.no/siteassets/fm-oslo-og-viken/horinger-og-kunngjoringer/e134-oslofjordtunnel/soknad-om-tillatelse.pdf.pdf,E2a,reused on site,stated in source document,"SELF-LOOP. Documented retention of 20 %, not modelled.",FALSE
FLW_0017,SRC_VI_002,AK_BA_005,Ringeriksbanen / E16 (FRE16),Avtjerna masselager,rock,3300000,pam3,,,evidenced,high,https://www.statsforvalteren.no/siteassets/fm-oslo-og-viken/horinger-og-kunngjoringer/klima-og-miljovern/fellesprosjektet-fre16/soknad.pdf,E2a,designated,stated in source document,Project total approx. 3.4 mill pfm3 on the stretch applied for. Brakamyr's location is unresolved.,FALSE
FLW_0018,SRC_VI_002,BU_HO_002,Ringeriksbanen / E16 (FRE16),Brakamyr massedeponi,rock,500000,pam3,,,evidenced,high,https://www.statsforvalteren.no/siteassets/fm-oslo-og-viken/horinger-og-kunngjoringer/klima-og-miljovern/fellesprosjektet-fre16/soknad.pdf,E2a,designated,stated in source document,Project total approx. 3.4 mill pfm3 on the stretch applied for. Brakamyr's location is unresolved.,FALSE
FLW_0019,SRC_VI_002,BU_HO_001,Ringeriksbanen / E16 (FRE16),Nordlandsdalen massedeponi,rock,850000,pam3,,,evidenced,high,https://www.statsforvalteren.no/siteassets/fm-oslo-og-viken/horinger-og-kunngjoringer/klima-og-miljovern/fellesprosjektet-fre16/soknad.pdf,E2a,designated,stated in source document,Project total approx. 3.4 mill pfm3 on the stretch applied for. Brakamyr's location is unresolved.,FALSE
FLW_0020,SRC_VI_002,BU_RI_008,Ringeriksbanen / E16 (FRE16),Prestmoen,rock,,m3,,,evidenced,medium,https://www.ringerike.kommune.no/contentassets/b6cd264eab254ca485bb7d69ae99a4d2/vedlegg-1.-kommunedelplan-for-masseforvaltning-datert-23.09.21.pdf,E2a,designated,stated in source document,Prestmoen is regulated through the FRE16 plan for intermediate storage of masses.,FALSE
FLW_0021,SRC_OS_002,AK_NI_001,Ny vannforsyning Oslo,NOAH Engadalen,mixed,,,,,evidenced,medium,https://www.globe.uio.no/include/publikasjoner-media/rapporter/rapport-1-25-fra-deponi-til-gjenvinning_ferdig.pdf,E2a,received,stated by the receiving facility,"STATED BY THE RECEIVER on its own site: 'løsningen for mange av regionens viktigste bygge- og anleggsprosjekter som ny vannforsyning, Fornebubanen og Livsvitensenteret'.",FALSE
FLW_0022,SRC_OS_001,AK_NI_001,Fornebubanen,NOAH Engadalen,mixed,,,,,evidenced,medium,https://www.globe.uio.no/include/publikasjoner-media/rapporter/rapport-1-25-fra-deponi-til-gjenvinning_ferdig.pdf,E2a,received,stated by the receiving facility,"STATED BY THE RECEIVER on its own site: 'løsningen for mange av regionens viktigste bygge- og anleggsprosjekter som ny vannforsyning, Fornebubanen og Livsvitensenteret'.",FALSE
FLW_0023,SRC_OS_003,AK_NI_001,Livsvitenskapsbygget,NOAH Engadalen,mixed,,,,,evidenced,medium,https://www.globe.uio.no/include/publikasjoner-media/rapporter/rapport-1-25-fra-deponi-til-gjenvinning_ferdig.pdf,E2a,received,stated by the receiving facility,"STATED BY THE RECEIVER on its own site: 'løsningen for mange av regionens viktigste bygge- og anleggsprosjekter som ny vannforsyning, Fornebubanen og Livsvitensenteret'.",FALSE
FLW_0024,PENDING_KARLJOHANSVERN,AK_AS_001,"Karljohansvern, Horten (Forsvarsbygg)",Lindum (facility unconfirmed),contaminated,16667,m3 (from tonnes at 1.8 t/m3),2023,2023,evidenced,medium,https://anlegg.bygg.no/forsvarsbygg-fjerner-forurensing-pa-karljohansvern-i-horten/286189,E2a,received,stated in source document,Aug–Nov 2023. The tiltaksplan says only 'godkjent deponi'; Lindum's own news says it took part. WHICH Lindum site is unconfirmed.,FALSE
FLW_0025,PENDING_DRAMMEN_TONSBERG,BU_DR_002,Drammen and Tønsberg (catchment),Lindum AS avd. Drammen,contaminated,11111,m3 (from tonnes at 1.8 t/m3),,,evidenced,medium,https://lindum.no/tjenester/forurensede-masser,E2a,received,stated in source document,"Oily sludge and sand at the Drammen oil treatment plant. A stated catchment, not a named project.",FALSE
FLW_0026,SRC_OS_012,BU_DR_001,Nye Aker sykehus,Drammen Havn Holmen,mixed,,pfm3,2022,2030,modelled,medium,https://www.regjeringen.no/contentassets/2c4e4768f5de411ca00fa53a8ca1f4d3/fagrapport-konsekvenser-i-anleggsfasen.pdf,E2b,considered,stated in source document,"'Det foreligger ingen avtale med Drammen havn'. Project surplus 335 000 pfm3, roughly half rock, half løsmasser. NOT A FLOW — intent only.",FALSE
FLW_0027,SRC_OS_012,AK_BA_005,Nye Aker sykehus,Avtjerna masselager,mixed,,pfm3,2022,2030,modelled,medium,https://www.regjeringen.no/contentassets/2c4e4768f5de411ca00fa53a8ca1f4d3/fagrapport-konsekvenser-i-anleggsfasen.pdf,E2b,considered,stated in source document,"under consideration; Bærum says Avtjerna is fully committed to FRE16 until ~2027. Project surplus 335 000 pfm3, roughly half rock, half løsmasser. NOT A FLOW — intent only.",FALSE
FLW_0028,SRC_OS_012,AK_AS_001,Nye Aker sykehus,Lindum Oredalen,mixed,,pfm3,2022,2030,modelled,medium,https://www.regjeringen.no/contentassets/2c4e4768f5de411ca00fa53a8ca1f4d3/fagrapport-konsekvenser-i-anleggsfasen.pdf,E2b,considered,stated in source document,"noted as taking contaminated masses. Project surplus 335 000 pfm3, roughly half rock, half løsmasser. NOT A FLOW — intent only.",FALSE
FLW_0029,SRC_VI_001,AK_BA_006,E18 Vestkorridoren,"Lakseberget, Sandvika",rock,,pfm3,2020,2028,modelled,medium,https://www.statsforvalteren.no/contentassets/693b1fba254244b89e826aec01f7c51a/vedlegg-9---plan-for-massehandtering-og-transport.pdf ; https://www.baerum.kommune.no/politikk-og-samfunn/samfunnsutvikling/om-barum-ressursbank/mulig-mottak/lakseberget-sandvika/,E2b,considered,stated in source document,"E18 plan lists it with uncertain availability, approx. 2 km. Bærum names E18 and Fornebubanen as the likely suppliers.",FALSE
FLW_0030,SRC_OS_001,AK_BA_006,Fornebubanen,"Lakseberget, Sandvika",rock,,pfm3,2020,2028,modelled,medium,https://www.baerum.kommune.no/politikk-og-samfunn/samfunnsutvikling/om-barum-ressursbank/mulig-mottak/lakseberget-sandvika/,E2b,considered,stated in source document,Named by Bærum kommune as a likely supplier.,FALSE
FLW_0031,SRC_VI_001,AK_BA_009,E18 Vestkorridoren,"Friluftsøya, Fornebu",rock,,pfm3,2020,2028,modelled,low,https://www.statsforvalteren.no/contentassets/693b1fba254244b89e826aec01f7c51a/vedlegg-9---plan-for-massehandtering-og-transport.pdf ; https://www.baerum.kommune.no/politikk-og-samfunn/samfunnsutvikling/om-barum-ressursbank/mulig-mottak/friluftsoya-fornebu/,E2b,considered,stated in source document,"2-5 km. CONFLICT: reported refused by Statsforvalteren in one source, described as ongoing by the kommune.",FALSE
FLW_0032,SRC_OS_001,AK_BA_009,Fornebubanen,"Friluftsøya, Fornebu",rock,,pfm3,2020,2028,modelled,low,https://www.baerum.kommune.no/politikk-og-samfunn/samfunnsutvikling/om-barum-ressursbank/mulig-mottak/friluftsoya-fornebu/,E2b,considered,stated in source document,0-2 km. Filling proposed mainly by barge.,FALSE
FLW_0033,SRC_VI_002,AK_BA_007,Ringeriksbanen / E16 (FRE16),Brenna (Avtjerna syd),rock,,,,,modelled,low,https://www.baerum.kommune.no/politikk-og-samfunn/samfunnsutvikling/om-barum-ressursbank/mulig-mottak/brenna/,E2b,interest expressed,stated in source document,All three have expressed interest in a future facility at Brenna. Private plan proposal only.,FALSE
FLW_0034,SRC_OS_001,AK_BA_007,Fornebubanen,Brenna (Avtjerna syd),rock,,,,,modelled,low,https://www.baerum.kommune.no/politikk-og-samfunn/samfunnsutvikling/om-barum-ressursbank/mulig-mottak/brenna/,E2b,interest expressed,stated in source document,All three have expressed interest in a future facility at Brenna. Private plan proposal only.,FALSE
FLW_0035,SRC_VI_001,AK_BA_007,E18 Vestkorridoren,Brenna (Avtjerna syd),rock,,,,,modelled,low,https://www.baerum.kommune.no/politikk-og-samfunn/samfunnsutvikling/om-barum-ressursbank/mulig-mottak/brenna/,E2b,interest expressed,stated in source document,All three have expressed interest in a future facility at Brenna. Private plan proposal only.,FALSE
FLW_0036,SRC_OS_001,SRC_OS_001,Fornebubanen,Fornebubanen (on site),rock,158000,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0037,SRC_OS_001,SRC_OS_001,Fornebubanen,Fornebubanen (on site),soil and clay,7900,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0038,SRC_OS_002,SRC_OS_002,Ny vannforsyning Oslo,Ny vannforsyning Oslo (on site),rock,300000,pfm3,2020,2028,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0039,SRC_VI_010,SRC_VI_010,Oslo Logistikkpark Drøbak,Oslo Logistikkpark Drøbak (on site),rock,56250,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0040,SRC_VI_010,SRC_VI_010,Oslo Logistikkpark Drøbak,Oslo Logistikkpark Drøbak (on site),soil and clay,11250,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0041,SRC_VI_011,SRC_VI_011,Bulk Park Lindeberg,Bulk Park Lindeberg (on site),soil and clay,15000,pfm3,2022,2027,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0042,SRC_OS_011,SRC_OS_011,Regjeringskvartalet C-blokk,Regjeringskvartalet C-blokk (on site),soil and clay,5375,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0043,SRC_OS_011,SRC_OS_011,Regjeringskvartalet C-blokk,Regjeringskvartalet C-blokk (on site),demolition,7500,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0044,SRC_OS_012,SRC_OS_012,Nye Aker Sykehus,Nye Aker Sykehus (on site),rock,62500,pfm3,2024,2031,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0045,SRC_OS_012,SRC_OS_012,Nye Aker Sykehus,Nye Aker Sykehus (on site),soil and clay,10000,pfm3,2024,2031,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0046,SRC_VI_006,SRC_VI_006,Drammen Helsepark,Drammen Helsepark (on site),soil and clay,25000,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0047,SRC_OS_015,SRC_OS_015,Construction City,Construction City (on site),soil and clay,5600,pfm3,2021,2025,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0048,SRC_OS_015,SRC_OS_015,Construction City,Construction City (on site),rock,12000,pfm3,2021,2025,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0049,SRC_HIS_001,SRC_HIS_001,Follobanen,Follobanen (on site),rock,750000,pfm3,2015,2022,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0050,SRC_HIS_002,SRC_HIS_002,Barcode-rekken,Barcode-rekken (on site),soil and clay,30000,pfm3,2005,2016,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0051,SRC_HIS_003,SRC_HIS_003,Nasjonalmuseet,Nasjonalmuseet (on site),soil and clay,8750,pfm3,2014,2022,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0052,SRC_HIS_003,SRC_HIS_003,Nasjonalmuseet,Nasjonalmuseet (on site),rock,18750,pfm3,2014,2022,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0053,SRC_HIS_004,SRC_HIS_004,Munchmuseet,Munchmuseet (on site),soil and clay,5000,pfm3,2016,2021,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0054,SRC_OS_003,SRC_OS_003,Livsvitenskapsbygget,Livsvitenskapsbygget (on site),soil and clay,25000,pfm3,2019,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0055,SRC_VI_012,SRC_VI_012,Vestby Næringspark Øst,Vestby Næringspark Øst (on site),rock,45000,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0056,SRC_VI_012,SRC_VI_012,Vestby Næringspark Øst,Vestby Næringspark Øst (on site),soil and clay,6000,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0057,SRC_VI_001,SRC_VI_001,E18 Vestkorridoren,E18 Vestkorridoren (on site),rock,28346,pfm3,2020,2028,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0058,SRC_VI_001,SRC_VI_001,E18 Vestkorridoren,E18 Vestkorridoren (on site),soil and clay,9079,pfm3,2020,2028,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0059,SRC_VI_001,SRC_VI_001,E18 Vestkorridoren,E18 Vestkorridoren (on site),demolition,709,pfm3,2020,2028,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0060,SRC_VI_001,SRC_VI_001,E18 Vestkorridoren,E18 Vestkorridoren (on site),contaminated,6156,pfm3,2020,2028,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0061,SRC_OS_013,SRC_OS_013,Bjørvika Skole,Bjørvika Skole (on site),soil and clay,2000,pfm3,2025,2027,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0062,SRC_VI_014,SRC_VI_014,Fjellhamar Bruk,Fjellhamar Bruk (on site),demolition,4000,pfm3,2022,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0063,SRC_VI_014,SRC_VI_014,Fjellhamar Bruk,Fjellhamar Bruk (on site),soil and clay,2000,pfm3,2022,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0064,SRC_VI_008,SRC_VI_008,GlobalConnect fiber,GlobalConnect fiber (on site),soil and clay,1750,pfm3,2025,2027,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0065,SRC_VI_008,SRC_VI_008,GlobalConnect fiber,GlobalConnect fiber (on site),demolition,1500,pfm3,2025,2027,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3","SELF-LOOP, modelled retention on site. 0.0 km. HYPOTHESIS ONLY - do not present as a flow.",FALSE
FLW_0066,SRC_OS_001,OS_OS_001,Fornebubanen,Alnabru Massemottak,rock,69527,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",11.5 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0067,SRC_OS_001,AK_LI_002,Fornebubanen,Skedsmo Massesenter,rock,34585,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",29.0 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0068,SRC_OS_001,AK_LI_003,Fornebubanen,Jølsen Miljøpark,rock,28202,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",30.5 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0069,SRC_OS_001,AK_EI_002,Fornebubanen,Feiring Bruk AS avd. Dal Pukkverk,rock,23485,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",58.8 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0070,SRC_OS_001,AK_UL_003,Fornebubanen,Veidekke Gardermoen Massesenter,rock,27247,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",48.7 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0071,SRC_OS_001,AK_AH_001,Fornebubanen,Helgerud Inert Deponi,rock,8167,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",61.5 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0072,SRC_OS_001,AK_AS_001,Fornebubanen,Lindum Oredalen,rock,24889,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",54.5 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0073,SRC_OS_001,AK_AH_002,Fornebubanen,Mr. Pukk Høland AS,rock,8134,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",61.6 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0074,SRC_OS_001,OF_IO_002,Fornebubanen,Veidekke Elvestad,rock,18830,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",44.2 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
